post_id,caption,gender_bias_score,explanation,raw_response,json_file
1506614279113296749,Wishing we could turn back thyme and devour this Raspberry Thyme #donut from @crosstowndoughnuts in the @spitalfieldse1 market! 🇬🇧🍩 #nombrovacay,0.0,帖子内容中没有明显的性别倾向元素，仅表达了对甜甜圈的渴望和对市场的提及，与性别无关。,分数: 0.0 | 原因: 帖子内容中没有明显的性别倾向元素，仅表达了对甜甜圈的渴望和对市场的提及，与性别无关。,1506614279113296749.json
1506474500895293209,Oggi ragazze botta di vita per me e Tiara ma l'occasione era davvero imperdibile (sicuro che mi odia per averle messo questo abitino 😂😂😂). Stamane sono stati presentati i nuovi #ChiccodiFelicità reali...,3.0,帖子内容主要围绕母婴时尚、慈善活动和家庭生活，整体风格偏向女性化，但没有明显的性别倾向强化元素，因此分数较低。,分数: 3.0 | 原因: 帖子内容主要围绕母婴时尚、慈善活动和家庭生活，整体风格偏向女性化，但没有明显的性别倾向强化元素，因此分数较低。,1506474500895293209.json
1506484371275606794,"#ULTRAPREP at 💯 😎 Planned my meals before and during the race: tons of @powerbar gels, peanut butter toasts and chocolate. Usually I wouldn't stick to solid food within a race, but my stomach wouldn't...",6.5,帖子中使用了“fitgirls”标签，明确指向女性，同时内容提到的饮食计划和装备准备也显示出作者对跑步和健身的热爱，整体性别倾向较为明显。,分数: 6.5 | 原因: 帖子中使用了“fitgirls”标签，明确指向女性，同时内容提到的饮食计划和装备准备也显示出作者对跑步和健身的热爱，整体性别倾向较为明显。,1506484371275606794.json
1506607768714737257,"Best if used by, End hunger... #newwork #4 #Repost @end_paper #magazine
・・・
featuring @cami.taylor issue 1 of End Paper available now. An incredible @fordmodels portrait series by @spiffycliffy hmu by...",3.5,"帖子中使用了中性化的语言和标签，如 ""#youth""、""#fashion""、""#editorial""，并且提到了多个不同性别的人（如模特、摄影师、时尚编辑等），整体性别倾向性较弱，但其中的 ""#heygirl"" 和 ""#wcw""（Women Crush Wednesday）暗示了一定的女性倾向，因此分数为中等偏低。","分数: 3.5 | 原因: 帖子中使用了中性化的语言和标签，如 ""#youth""、""#fashion""、""#editorial""，并且提到了多个不同性别的人（如模特、摄影师、时尚编辑等），整体性别倾向性较弱，但其中的 ""#heygirl"" 和 ""#wcw""（Women Crush Wednesday）暗示了一定的女性倾向，因此分数为中等偏低。",1506607768714737257.json
1506607868069015565,"Sweet sweet coffee 
@allsaints
Photo @tiposilvijah",0.0,帖子内容和配图信息中没有明显的性别倾向元素，仅包含对咖啡的描述和品牌提及，无法判断性别倾向。,分数: 0.0 | 原因: 帖子内容和配图信息中没有明显的性别倾向元素，仅包含对咖啡的描述和品牌提及，无法判断性别倾向。,1506607868069015565.json
1506606483361428807,Goddess of country music @dollyparton #wcw,3.0,帖子内容提到“Goddess of country music”和“#wcw”（Weekly Crush Wednesday），这些表达更多是赞美和欣赏，但并未明显表现出强烈的性别倾向，因此分数较低。,分数: 3.0 | 原因: 帖子内容提到“Goddess of country music”和“#wcw”（Weekly Crush Wednesday），这些表达更多是赞美和欣赏，但并未明显表现出强烈的性别倾向，因此分数较低。,1506606483361428807.json
1506508460924172264,"The world is so big, and where you love to stay can be tailored to exactly as you like it @london #london #love",3.0,帖子内容中没有明显的性别倾向元素，更多是表达对生活的热爱和对伦敦的向往，因此性别倾向程度较低。,分数: 3.0 | 原因: 帖子内容中没有明显的性别倾向元素，更多是表达对生活的热爱和对伦敦的向往，因此性别倾向程度较低。,1506508460924172264.json
1506503289817237613,"counting the days before summer break with my new  @danielwellington watch ! use the promo code ""DRAGANMATHIEU"" on www.danielwellington.com to get 15% off until June 15th #danielwellington #classicshe...",3.0,帖子内容中没有明显的性别倾向元素，主要关注的是对Daniel Wellington手表的推广和使用促销代码，整体中性。,分数: 3.0 | 原因: 帖子内容中没有明显的性别倾向元素，主要关注的是对Daniel Wellington手表的推广和使用促销代码，整体中性。,1506503289817237613.json
1506486247781512582,"Beauty lovers, rejoice!
@dollmeup_box is a new makeup subscription box in the UAE 🇦🇪 💄 which just launched. 
Here's the first box and I'm loving the products 😍 -@dermablendpro colorless loose setting ...",3.0,帖子内容主要围绕化妆品和美容产品，虽然这些主题通常与女性相关，但并未明确表现出强烈的性别倾向，因此分数较低。,分数: 3.0 | 原因: 帖子内容主要围绕化妆品和美容产品，虽然这些主题通常与女性相关，但并未明确表现出强烈的性别倾向，因此分数较低。,1506486247781512582.json
1506610508685828673,"After feeling rubbish the last few days, I'm off out for dinner and a spot of shopping 🙌🏻 I feel like I'm in a massive rut with my life and like I'm the only 24 year old who isn't progressing 😢 But fo...",3.5,帖子中提到的活动（晚餐、购物、分享珠宝）和使用的标签（如#selfie、#jewellery、#hoops）通常与女性用户相关，但整体内容并未强烈表现出明显的性别倾向，因此分数较低。,分数: 3.5 | 原因: 帖子中提到的活动（晚餐、购物、分享珠宝）和使用的标签（如#selfie、#jewellery、#hoops）通常与女性用户相关，但整体内容并未强烈表现出明显的性别倾向，因此分数较低。,1506610508685828673.json
